Timestamp,Metric,Value
2025-05-01 13:53:21,memory usage,88%
2025-05-01 12:34:39,CPU usage,82%
2025-05-05 00:37:03,memory usage,89%
2025-05-05 02:52:22,CPU usage,81%
2025-05-05 04:40:01,CPU usage,83%
2025-05-01 20:15:34,memory usage,81%
2025-05-04 03:45:14,CPU usage,75%
2025-05-02 05:04:32,memory usage,88%
2025-05-07 04:21:32,CPU usage,81%
2025-05-06 04:14:54,memory usage,80%
2025-05-03 15:42:52,memory usage,88%
2025-05-07 00:44:52,CPU usage,78%
2025-05-06 18:06:09,CPU usage,84%
2025-05-03 10:05:10,CPU usage,85%
2025-05-05 20:17:10,CPU usage,81%
2025-05-02 23:08:54,CPU usage,85%
2025-05-07 10:07:25,memory usage,89%
2025-05-07 04:32:49,memory usage,85%
2025-05-03 07:34:50,memory usage,85%
2025-05-04 18:51:17,memory usage,85%
2025-05-04 13:44:31,CPU usage,76%
2025-05-06 06:19:38,memory usage,89%
