Timestamp,Metric,Value
2025-05-04 01:18:34,memory usage,86%
2025-05-04 14:05:43,memory usage,83%
2025-05-03 04:30:55,CPU usage,76%
2025-05-02 19:10:52,memory usage,90%
2025-05-04 21:39:15,memory usage,85%
2025-05-07 19:31:04,memory usage,89%
2025-05-01 12:25:44,CPU usage,85%
2025-05-07 14:10:11,memory usage,90%
2025-05-01 18:43:59,memory usage,82%
2025-05-04 00:31:12,CPU usage,75%
2025-05-02 03:34:12,memory usage,89%
2025-05-07 18:05:55,CPU usage,78%
2025-05-06 14:37:25,memory usage,83%
2025-05-07 01:50:31,CPU usage,76%
2025-05-03 06:18:33,memory usage,81%
2025-05-04 04:19:22,CPU usage,77%
2025-05-03 23:02:17,memory usage,83%
